,Artist,Track,Spotify_Duration,Spotify_EurovisionYear,Spotify_Popularity
0,Chingiz,Truth - Radio Edit,209411,Eurovision 2019,0
1,John Lundvik,Too Late For Love,178133,Eurovision 2019,0
2,Kate Miller-Heidke,Zero Gravity,177443,Eurovision 2019,38
3,Michela,Chameleon,179698,Eurovision 2019,0
4,Mahmood,Soldi,195476,Eurovision 2019,0
5,Duncan Laurence,Arcade,183624,Eurovision 2019,74
6,Lake Malawi,Friend Of A Friend,172641,Eurovision 2019,35
7,Hatari,Hatrið Mun Sigra,178920,Eurovision 2019,0
8,Katerine Duska,Better Love,181360,Eurovision 2019,30
9,Bilal Hassani,Roi,177250,Eurovision 2019,21
10,Sergey Lazarev,Scream,178643,Eurovision 2019,0
11,Luca Hänni,She Got Me,180816,Eurovision 2019,0
12,Zena,Like It,181381,Eurovision 2019,0
13,Tamta,Replay,173812,Eurovision 2019,40
14,S!Sters,Sister,180000,Eurovision 2019,23
15,Michael Rice,Bigger Than Us,178098,Eurovision 2019,0
16,Leonora,Love Is Forever,181013,Eurovision 2019,32
17,Zalagasper,Sebi - Dare To Dream Version,180013,Eurovision 2019,26
18,Serhat,Say Na Na Na,178930,Eurovision 2019,0
19,Keiino,Spirit In The Sky,185157,Eurovision 2019,46
20,Tulia,Fire Of Love (Pali Się),165846,Eurovision 2019,26
21,Sarah Mcternan,22,173214,Eurovision 2019,23
22,Eliot,Wake Up,179400,Eurovision 2019,0
23,Tamara Todevska,Proud,180000,Eurovision 2019,33
24,Darude,Look Away,179613,Eurovision 2019,26
25,Paenda,Limits,204714,Eurovision 2019,16
26,Victor Crone,Storm,185625,Eurovision 2019,35
27,Srbuk,Walking Out,176903,Eurovision 2019,0
28,Jurijus,Run With The Lions,180806,Eurovision 2019,22
29,Kobi Marimi,Home,178237,Eurovision 2019,0
30,Pápai Joci,Az Én Apám - Esc Version,183750,Eurovision 2019,0
31,Ester Peony,On A Sunday,184933,Eurovision 2019,0
32,D-Mol,Heaven,174782,Eurovision 2019,16
33,Anna Odobescu,Stay,180517,Eurovision 2019,19
34,Carousel,That Night,181523,Eurovision 2019,25
35,Jonida Maliqi,Ktheju Tokës - Eurovision 2019 / Albania,185192,Eurovision 2019,0
36,Nevena Bozovic,Kruna,187125,Eurovision 2019,0
37,Roko Blažević,The Dream,180074,Eurovision 2019,0
38,Miki Núñez,La Venda - Eurovision Song Contest / Tel Aviv 2019,179558,Eurovision 2019,30
39,Conan Osiris,Telemoveis,185688,Eurovision 2019,30
40,Oto Nemsadze,Keep On Going,184878,Eurovision 2019,18
41,Maruv,Siren Song,171130,Eurovision 2019,40
42,Måneskin,Zitti E Buoni,192654,Eurovision 2021,56
43,Go_A,Shum,172675,Eurovision 2021,0
44,Barbara Pravi,Voilà,176815,Eurovision 2021,66
45,Gjon'S Tears,Tout L'Univers,183706,Eurovision 2021,0
46,Daði Freyr,10 Years,166000,Eurovision 2021,0
47,Destiny,Je Me Casse - Eurovision Official Entry,178500,Eurovision 2021,17
48,The Roop,Discoteque,180521,Eurovision 2021,44
49,Manizha,Russian Woman,176877,Eurovision 2021,42
50,Stefania,Last Dance,180000,Eurovision 2021,40
51,The Black Mamba,Love Is On My Side,175960,Eurovision 2021,30
52,Natalia Gordienko,Sugar,178500,Eurovision 2021,38
53,Eden Alene,Set Me Free,179439,Eurovision 2021,40
54,Efendi,Mata Hari,160980,Eurovision 2021,48
55,Senhit,Adrenalina,179786,Eurovision 2021,39
56,Montaigne,Technicolour,169273,Eurovision 2021,35
57,Fyr Og Flamme,Øve Os På Hinanden,186750,Eurovision 2021,35
58,Tix,Fallen Angel,173786,Eurovision 2021,44
59,Tusse,Voices,184000,Eurovision 2021,48
60,James Newman,Embers,175914,Eurovision 2021,0
61,Elena Tsagrinou,El Diablo,181546,Eurovision 2021,23
62,Albina,Tick-Tock,180000,Eurovision 2021,35
63,Lesley Roy,Maps,172122,Eurovision 2021,34
64,Roxen,Amnesia,174125,Eurovision 2021,37
65,Eden Alene,Set Me Free,174142,Eurovision 2021,0
66,Rafał Brzozowski,The Ride,180813,Eurovision 2021,29
67,Samanta Tina,The Moon Is Rising - Original,180000,Eurovision 2021,29
68,Benny Cristo,Omaga,179754,Eurovision 2021,29
69,Uku Suviste,The Lucky One,182727,Eurovision 2021,28
70,Hooverphonic,The Wrong Place,176506,Eurovision 2021,39
71,Victoria,Growing Up Is Getting Old - Eurovision Version,188170,Eurovision 2021,31
72,Vasil Garvanliev,Here I Stand,180500,Eurovision 2021,19
73,Vincent Bueno,Amen,175555,Eurovision 2021,24
74,Jeangu Macrooy,Birth Of A New Age,173375,Eurovision 2021,31
75,Blas Cantó,Voy A Quedarme,182807,Eurovision 2021,33
76,Tornike Kipiani,You,183640,Eurovision 2021,21
77,Hurricane,Loco Loco,175375,Eurovision 2021,0
78,Anxhela Peristeri,Karma,180000,Eurovision 2021,0
79,Anxhela Peristeri,Karma,179200,Eurovision 2021,0
80,Jendrik,I Don'T Feel Hate,176996,Eurovision 2021,0
81,Ana Soklič,Amen,184704,Eurovision 2021,22
82,Blind Channel,Dark Side,177789,Eurovision 2021,0
83,Marco Dalla Villa,Maps - Marco Dalla Villa Remix,179566,Eurovision 2021,16
84,Daði Freyr,10 Years - Chromeo Remix,163320,Eurovision 2021,0
85,The Roop,Discoteque - Deepend Remix,153030,Eurovision 2021,20
86,Go_A,Shum - Dj Nana Remix,152741,Eurovision 2021,0
87,Albina,Tick-Tock - Stefy De Cicco Remix,161250,Eurovision 2021,15
88,Jeangu Macrooy,Birth Of A New Age - Mason Remix,217443,Eurovision 2021,12
89,Hooverphonic,The Wrong Place - Hairglow French Crop Mix,208520,Eurovision 2021,17
90,Elena Tsagrinou,El Diablo - Joytide & Maarlind Remix,171147,Eurovision 2021,21
91,Gjon'S Tears,Tout L'Univers - Tiery F Remix,191040,Eurovision 2021,0
92,Senhit,Adrenalina - Steve Aoki Remix,190000,Eurovision 2021,25
93,Ana Soklič,Amen (Summer Vibes Remix),268500,Eurovision 2021,10
94,Scott Elk Artwork,Movement Iv - Dawn + Stardust,216013,Eurovision 2021,9
95,Kalush,Stefania (Kalush Orchestra),179714,Eurovision 2022 🇮🇹,0
96,Sam Ryder,Space Man - Eurovision Song Contest Edit,184560,Eurovision 2022 🇮🇹,30
97,Chanel,Slomo - Eurovision'S Dancebreak Edit,180000,Eurovision 2022 🇮🇹,0
98,Cornelia Jakobs,Hold Me Closer - Eurovision Version,180573,Eurovision 2022 🇮🇹,39
99,Konstrakta,In Corpore Sano,179482,Eurovision 2022 🇮🇹,41
100,Mahmood,Brividi,199146,Eurovision 2022 🇮🇹,61
101,Zdob Si Zdub,Trenulețul (Cu Frații Advahov) - Eurovision 2022,180845,Eurovision 2022 🇮🇹,28
102,Amanda Tenfjord,Die Together,175466,Eurovision 2022 🇮🇹,40
103,Maro,"Saudade, Saudade",181226,Eurovision 2022 🇮🇹,49
104,Subwoolfer,Give That Wolf A Banana,171933,Eurovision 2022 🇮🇹,50
105,S10,De Diepte,176603,Eurovision 2022 🇮🇹,51
106,Ochman,River,180201,Eurovision 2022 🇮🇹,42
107,Stefan,Hope,183902,Eurovision 2022 🇮🇹,40
108,Monika Liu,Sentimentai,180000,Eurovision 2022 🇮🇹,0
109,Sheldon Riley,Not The Same,178325,Eurovision 2022 🇮🇹,41
110,Nadir Rustamli,Fade To Black,177386,Eurovision 2022 🇮🇹,38
111,Marius Bear,Boys Do Cry,176602,Eurovision 2022 🇮🇹,36
112,Andrei Ursu,Llámame - Eurovision Version,184500,Eurovision 2022 🇮🇹,33
113,Jérémie Makiese,Miss You,173333,Eurovision 2022 🇮🇹,41
114,Rosa Linn,Snap,179551,Eurovision 2022 🇮🇹,1
115,The Rasmus,Jezebel,190863,Eurovision 2022 🇮🇹,43
116,We Are Domi,Lights Off - Esc Version,179323,Eurovision 2022 🇮🇹,40
117,Systur,Með Hækkandi Sól,180733,Eurovision 2022 🇮🇹,0
118,Alvan,Fulenn,166255,Eurovision 2022 🇮🇹,33
119,Malik Harris,Rockstars,179706,Eurovision 2022 🇮🇹,50
120,Mia Dimšić,Guilty Pleasure,181506,Eurovision 2022 🇮🇹,0
121,Andrea,Circles,180000,Eurovision 2022 🇮🇹,30
122,Ronela Hajati,Sekret,181116,Eurovision 2022 🇮🇹,0
